                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3312,                 2.4426,                 1.0466,                0.79519,                0.24033,                0.68017,                0.37364,                 1.3734,                 2.3114,                  1.028,                0.00032,                0.00032,                0.00032
                      2,                 1.1854,                 1.0855,                 1.0014,                0.91776,                0.52404,                0.72023,                0.47879,                 1.1501,                 2.5947,                0.98414,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.1526,                0.87233,                 1.0013,                0.53087,                0.14194,                0.27235,                0.18153,                 1.1591,                 2.6897,                  1.042,              0.0009802,              0.0009802,              0.0009802
                      4,                  1.122,                0.81116,                0.98298,                0.77481,                0.57283,                0.70124,                0.47058,                  1.137,                  1.936,                0.98854,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.1064,                0.78692,                0.97881,                0.73366,                0.59973,                0.71233,                 0.4623,                 1.2252,                 1.7813,                 1.0212,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.1143,                0.76506,                0.98414,                0.83053,                0.83681,                 0.9008,                0.56813,                 1.2791,                 1.1883,                 1.0467,               0.001901,               0.001901,               0.001901
                      7,                 1.1031,                0.76793,                0.98631,                0.82565,                0.85059,                0.88856,                0.58766,                 1.2098,                0.97522,                 1.0349,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0919,                0.74928,                0.97866,                0.74139,                 0.8666,                 0.8254,                0.55659,                 1.1663,                0.87228,                 1.0329,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0848,                0.70843,                0.97691,                0.81883,                0.83565,                0.89621,                0.60438,                 1.1495,                0.78724,                 1.0263,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0818,                0.67989,                0.98275,                0.87043,                 0.8962,                0.95206,                0.67736,                 1.0525,                0.68667,                0.98586,              0.0018218,              0.0018218,              0.0018218
